caseid,task,user,end_timestamp,start_timestamp,role,ac_index,rl_index
100101,Traer informacion estudiante - banner,7071,2016-03-13 00:59:55+00:00,2016-03-13 00:59:55+00:00,Role 1,10,1
100101,Radicar Solicitud Homologacion,7071,2016-03-13 01:00:02+00:00,2016-03-13 01:00:02+00:00,Role 1,7,1
100101,Validar solicitud,22475,2016-03-13 01:19:56+00:00,2016-03-13 01:19:49+00:00,Role 3,14,6
100101,Homologacion por grupo de cursos,22478,2016-03-14 15:15:32+00:00,2016-03-14 15:07:40+00:00,Role 2,5,5
100101,Revisar curso,22475,2016-03-14 15:07:40+00:00,2016-03-14 15:07:40+00:00,Role 3,9,6
100101,Evaluacion curso,22478,2016-03-14 15:15:55+00:00,2016-03-14 15:08:04+00:00,Role 2,4,5
100102,Traer informacion estudiante - banner,7071,2016-03-13 01:20:48+00:00,2016-03-13 01:20:48+00:00,Role 1,10,1
100102,Radicar Solicitud Homologacion,7071,2016-03-13 01:20:49+00:00,2016-03-13 01:20:49+00:00,Role 1,7,1
100102,Cancelar Solicitud,7071,2016-03-13 03:13:42+00:00,2016-03-13 01:26:08+00:00,Role 1,2,1
100102,Validar solicitud,22475,2016-03-13 01:26:11+00:00,2016-03-13 01:26:08+00:00,Role 3,14,6
100102,Notificacion estudiante cancelacion soli,7071,2016-04-07 19:34:20+00:00,2016-04-07 19:34:20+00:00,Role 1,6,1
100952,Traer informacion estudiante - banner,5641,2016-03-14 17:21:52+00:00,2016-03-14 17:21:52+00:00,Role 1,10,1
100952,Radicar Solicitud Homologacion,5641,2016-03-14 18:25:21+00:00,2016-03-14 17:21:53+00:00,Role 1,7,1
100952,Validar solicitud,1707,2016-03-31 19:16:14+00:00,2016-03-31 17:50:05+00:00,Role 3,14,6
100952,Homologacion por grupo de cursos,15930,2016-04-15 19:22:48+00:00,2016-04-15 14:34:48+00:00,Role 2,5,5
100952,Revisar curso,1707,2016-04-15 16:03:41+00:00,2016-04-15 14:34:48+00:00,Role 3,9,6
100952,Evaluacion curso,1707,2016-05-02 19:48:36+00:00,2016-05-02 16:53:02+00:00,Role 3,4,6
100952,Validacion final,1707,2016-06-03 16:27:14+00:00,2016-06-03 16:27:05+00:00,Role 3,13,6
100952,Visto Bueno Cierre Proceso,15930,2016-06-03 17:00:01+00:00,2016-06-03 16:36:38+00:00,Role 2,16,5
100953,Traer informacion estudiante - banner,7736,2016-03-14 18:04:43+00:00,2016-03-14 18:04:43+00:00,Role 1,10,1
100953,Radicar Solicitud Homologacion,7736,2016-03-14 18:05:06+00:00,2016-03-14 18:04:46+00:00,Role 1,7,1
100953,Cancelar Solicitud,7736,2016-03-14 18:26:03+00:00,2016-03-14 18:25:47+00:00,Role 1,2,1
100953,Notificacion estudiante cancelacion soli,7736,2016-03-14 18:42:07+00:00,2016-03-14 18:42:07+00:00,Role 1,6,1
100954,Traer informacion estudiante - banner,7736,2016-03-14 18:42:41+00:00,2016-03-14 18:42:41+00:00,Role 1,10,1
100954,Radicar Solicitud Homologacion,7736,2016-03-14 18:42:58+00:00,2016-03-14 18:42:43+00:00,Role 1,7,1
100954,Cancelar Solicitud,22475,2016-03-14 18:58:33+00:00,2016-03-14 18:58:32+00:00,Role 3,2,6
100954,Notificacion estudiante cancelacion soli,22475,2016-03-14 19:26:56+00:00,2016-03-14 19:26:56+00:00,Role 3,6,6
101002,Traer informacion estudiante - banner,15862,2016-03-14 20:49:01+00:00,2016-03-14 20:49:01+00:00,Role 1,10,1
101002,Radicar Solicitud Homologacion,15862,2016-03-14 20:49:35+00:00,2016-03-14 20:49:02+00:00,Role 1,7,1
101002,Cancelar Solicitud,6400,2016-03-14 23:21:22+00:00,2016-03-14 21:33:52+00:00,Role 3,2,6
101002,Notificacion estudiante cancelacion soli,6400,2016-04-08 16:04:50+00:00,2016-04-08 16:04:50+00:00,Role 3,6,6
101051,Traer informacion estudiante - banner,1471,2016-03-14 20:41:54+00:00,2016-03-14 20:41:54+00:00,Role 1,10,1
101051,Radicar Solicitud Homologacion,1471,2016-03-14 20:41:58+00:00,2016-03-14 20:41:58+00:00,Role 1,7,1
101051,Validar solicitud,677,2016-03-14 20:52:36+00:00,2016-03-14 20:52:36+00:00,Role 3,14,6
101051,Homologacion por grupo de cursos,7331,2016-03-15 02:14:05+00:00,2016-03-14 20:58:05+00:00,Role 2,5,5
101051,Revisar curso,677,2016-03-14 20:58:06+00:00,2016-03-14 20:58:06+00:00,Role 3,9,6
