Resource utilization
Resource,Utilization %
SYSTEM,0
Role 7,9
Role 8,0
Role 5,0
Role 9,0
Role 3,2
Role 1,0
Role 2,2
Role 4,1
Role 6,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Avanzar recepcion documentos,4091.5037681261697,3016.0,8246.569119691849,36823.53391313553,1075.50376812617,0.0,5230.569119691849,9679.533913135529,24406.666666666668,0.0,219660.0,219660.0,16.755555555555556,16.755555555555556,16.755555555555556,150.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
Cancelar Solicitud,2091.684706697861,68.27665281295776,5158.957676649094,50200.43296074867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.620470592765896,0.3793147378497653,28.660875981383853,278.8912942263815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Cancelar curso,986.1717827320099,986.1717827320099,986.1717827320099,986.1717827320099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.478732126288944,5.478732126288944,5.478732126288944,5.478732126288944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
Evaluacion curso,1059.5105490237474,38.64924478530884,6885.898258924484,33904.33756875992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.886169716798596,0.2147180265850491,38.25499032735824,188.35743093755508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
GATEWAY 21 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
GATEWAY 22 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
GATEWAY 23 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
GATEWAY 24 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
GATEWAY 31 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
GATEWAY 32 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
GATEWAY 33 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
Homologacion por grupo de cursos,2898.1177050850606,178.86219024658203,13513.61403465271,95637.884267807,0.0,0.0,0.0,0.0,3.6363636363636362,0.0,60.0,120.0,16.10065391713923,0.9936788347032335,75.07563352584839,531.3215792655946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
Notificacion estudiante cancelacion soli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Radicar Solicitud Homologacion,183.09169732896905,0.0,3303.418247461319,10436.226747751236,0.0,0.0,0.0,0.0,3843.928816318512,0.0,219103.94253015518,219103.94253015518,1.0171760962720502,0.0,18.352323597007327,57.979037487506865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
Revisar curso,635.1650614304976,9.929307222366333,5314.671618461609,20960.44702720642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.528694785724986,0.055162817902035186,29.525953435897826,116.44692792892454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
Traer informacion estudiante - banner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24502.860568924953,0.0,211695.07909440994,1396663.0524287224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
Validacion final,189.3443736806512,5.289292812347412,1076.0834438800812,6059.019957780838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0519131871147287,0.029384960068596734,5.97824135488934,33.66122198767132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
Validar solicitud,2109.6903688979874,189.50174379348755,12355.012332439423,69619.78217363358,0.0,0.0,0.0,0.0,3.6363636363636362,0.0,60.0,120.0,11.720502049433259,1.0527874655193752,68.63895740244124,386.77656763129755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
Validar solicitud / pre-homologacion,123.93415927886963,15.621178388595581,303.18055176734924,1115.4074335098267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885231071048312,0.08678432438108656,1.6843363987074957,6.1967079639434814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
Visto Bueno Cierre Proceso,951.4016624167562,0.17606639862060547,3021.1919405460358,30444.853197336197,0.0,0.0,0.0,0.0,1351.875,0.0,43260.0,43260.0,5.285564791204202,9.781466590033636E-4,16.7843996697002,169.13807331853445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),68.31259870529175,39212.54547349612,236359.57445430756
Process Cycle Time excluding out of timetable hours (s),68.31259870529175,6248.913982989496,18874.55165219307
Process Waiting Time (s),0.0,169.8163844409742,5230.569119691849
Accumulated Process Duration (s),68.31259870529175,39212.54547349612,236359.57445430756
Cost,0.3795144372516208,33.77276443638067,104.8586202899615


Process Cycle Time (s) distribution
From,To,Count
68,23697,38
23698,47327,3
47328,70957,7
70958,94587,2
94588,118217,0
118218,141847,1
141848,165477,1
165478,189107,2
189108,212737,0
212738,236367,3

Process Waiting Time (s) distribution
From,To,Count
0,523,54
524,1047,0
1048,1571,0
1572,2095,0
2096,2619,2
2620,3143,0
3144,3667,0
3668,4191,0
4192,4715,0
4716,5239,1

Accumulated Process Duration (s) distribution
From,To,Count
68,23697,38
23698,47327,3
47328,70957,7
70958,94587,2
94588,118217,0
118218,141847,1
141848,165477,1
165478,189107,2
189108,212737,0
212738,236367,3

Process Cost distribution
From,To,Count
0,10,16
11,21,6
22,32,13
33,43,3
44,54,6
55,65,7
66,76,1
77,87,2
88,98,2
99,109,1

In-timetable Cycle time (s) distribution
From,To,Count
68,1948,15
1949,3829,7
3830,5710,12
5711,7591,3
7592,9472,3
9473,11353,8
11354,13234,2
13235,15115,3
15116,16996,2
16997,18877,2



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,14763.562103033066,14703.562103033066,0.0,81.68645612796148
2,1587.5900588035583,1587.5900588035583,0.0,8.81994477113088
3,22452.244168043137,18874.55165219307,0.0,104.8586202899615
4,10060.444091796875,10060.444091796875,0.0,55.8913560655382
5,3094.360297203064,3094.360297203064,0.0,17.190890540017023
6,10834.640567779541,10834.640567779541,0.0,60.19244759877523
7,5004.881456613541,5004.881456613541,0.0,27.80489698118634
8,4092.1008501052856,4092.1008501052856,0.0,22.733893611696033
9,10367.523197889328,10307.523197889328,0.0,57.26401776605182
10,4606.172535657883,4606.172535657883,0.0,25.589847420321572
11,59457.696793317795,16137.696793317795,0.0,89.65387107398774
12,68.31259870529175,68.31259870529175,0.0,0.3795144372516208
13,8794.542556524277,942.018265247345,0.0,5.2334348069296945
14,7094.026233434677,4444.208254098892,0.0,24.69004585610496
15,10624.292220830917,10624.292220830917,0.0,59.02384567128287
16,1230.9946494102478,1230.9946494102478,0.0,6.838859163390265
17,53608.720081567764,11972.08029794693,2184.4320545196533,54.375823574595984
18,10525.244494915009,5812.96958065033,0.0,32.294275448057384
19,9653.771130084991,9653.771130084991,0.0,53.63206183380551
20,608.2614665031433,608.2614665031433,0.0,3.379230369461907
21,1260.5601780414581,1260.5601780414581,0.0,7.003112100230323
22,9151.178082227707,9151.178082227707,0.0,50.83987823459838
23,2722.2072961330414,2722.2072961330414,0.0,15.123373867405785
24,1624.2646806240082,1624.2646806240082,0.0,9.02369267013338
25,2011.893299818039,2011.893299818039,0.0,11.177184998989105
26,231606.5125696659,11886.512569665909,0.0,66.03618094258839
27,2980.0140001773834,2980.0140001773834,0.0,16.5556333343188
28,236359.57445430756,17255.631924152374,0.0,95.86462180084654
29,214920.24808979034,3225.1689953804016,0.0,17.91760552989112
30,176214.91704535484,13757.746897935867,5230.569119691849,47.373209879133434
31,165961.87383317947,5184.556353569031,0.0,28.803090853161283
32,159545.65629386902,11106.487177848816,0.0,61.70270654360453
33,136834.67710232735,136.8307900428772,0.0,0.7601710557937622
34,72985.5699441433,638.5410521030426,0.0,3.5474502894613478
35,77414.7545235157,10967.347247362137,2264.5327389240265,48.34896949132283
36,65206.51804351807,10312.77356338501,0.0,57.29318646325005
37,60489.83117699623,7675.817211151123,0.0,42.64342895083958
38,50454.62060546875,1939.9808058738708,0.0,10.777671143743726
39,48745.28955936432,1271.7903923988342,0.0,7.065502179993524
40,48187.218660354614,1245.607127904892,0.0,6.920039599471622
41,47057.68964910507,5486.072621822357,0.0,30.478181232346426
42,45717.856345653534,4708.052410125732,0.0,26.15584672292074
43,46110.517927885056,5341.549488067627,0.0,29.675274933709037
44,17289.712697029114,15221.415821313858,0.0,84.56342122952145
45,6208.955406665802,4892.06600356102,0.0,27.178144464227884
46,535.7089493274689,535.7089493274689,0.0,2.9761608295970494
47,5389.0269339084625,5389.0269339084625,0.0,29.939038521713677
48,6482.684537410736,6482.684537410736,0.0,36.01491409672631
49,6324.094473600388,6324.094473600388,0.0,35.13385818666882
50,8167.835697650909,8167.835697650909,0.0,45.3768649869495
51,13886.279907941818,13886.279907941818,0.0,77.14599948856565
52,1823.2125334739685,1823.2125334739685,0.0,10.128958519299825
53,2891.510064601898,2891.510064601898,0.0,16.06394480334388
54,1325.7343108654022,1325.7343108654022,0.0,7.365190615918901
55,4368.901956319809,4368.901956319809,0.0,24.27167753511005
56,4621.711092233658,4621.711092233658,0.0,25.676172734631432
57,3706.898514509201,3706.898514509201,0.0,20.59388063616223
